period_date,total_ae_attendances,total_attendances_over_4hrs,four_hour_breach_rate,four_hour_performance_rate,period_month
2025-04-01,2209687,571127,25.85,74.15,Apr 2025
2025-05-01,2309298,581375,25.18,74.82,May 2025
2025-06-01,2268166,566734,24.99,75.01,Jun 2025
2025-07-01,2320374,560285,24.15,75.85,Jul 2025
2025-08-01,2182723,539040,24.7,75.3,Aug 2025
2025-09-01,2227502,567723,25.49,74.51,Sep 2025
2025-10-01,2314177,610640,26.39,73.61,Oct 2025
2025-11-01,2261926,595846,26.34,73.66,Nov 2025
2025-12-01,2240325,599421,26.76,73.24,Dec 2025
2026-01-01,2235959,629487,28.15,71.85,Jan 2026
2026-02-01,4087144,1083270,26.5,73.5,Feb 2026
2026-03-01,2351317,549529,23.37,76.63,Mar 2026
