period_date,patients_who_have_waited_4_12_hs_from_dta_to_admission,patients_who_have_waited_12plus_hrs_from_dta_to_admission,total_dta_waits_over_4hrs,period_month
2025-04-01,87208,44648,131856,Apr 2025
2025-05-01,87144,42891,130035,May 2025
2025-06-01,79488,38683,118171,Jun 2025
2025-07-01,80075,35467,115542,Jul 2025
2025-08-01,79917,35909,115826,Aug 2025
2025-09-01,84239,44765,129004,Sep 2025
2025-10-01,88420,54314,142734,Oct 2025
2025-11-01,83151,50648,133799,Nov 2025
2025-12-01,86988,50775,137763,Dec 2025
2026-01-01,89624,71517,161141,Jan 2026
2026-02-01,155178,109298,264476,Feb 2026
2026-03-01,77205,46665,123870,Mar 2026
