period_date,period_month,total_ae_attendances,total_attendances_over_4hrs,patients_who_have_waited_12+_hrs_from_dta_to_admission,four_hour_breach_rate,four_hour_performance_rate
01-04-2025,Apr-25,2209687,571127,44648,25.85,74.15
01-05-2025,May-25,2309298,581375,42891,25.18,74.82
01-06-2025,Jun-25,2268166,566734,38683,24.99,75.01
01-07-2025,Jul-25,2320374,560285,35467,24.15,75.85
01-08-2025,Aug-25,2182723,539040,35909,24.7,75.3
01-09-2025,Sep-25,2227502,567723,44765,25.49,74.51
01-10-2025,Oct-25,2314177,610640,54314,26.39,73.61
01-11-2025,Nov-25,2261926,595846,50648,26.34,73.66
01-12-2025,Dec-25,2240325,599421,50775,26.76,73.24
01-01-2026,Jan-26,2235959,629487,71517,28.15,71.85
01-02-2026,Feb-26,2043572,541635,54649,26.5,73.5
01-03-2026,Mar-26,2351317,549529,46665,23.37,76.63
